"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3300212","3334337","3371336","3407560","3441092","3472276","3497912","3521006","3539561","3558917","3568834","3584364","3580216","3581028","3576976","3569151","3560398","3553677","3548058","3538512","3523018",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"307642","309940","315383","319076","323956","327948","333832","341352","347854","356284","355333","356594","361227","362572","359578","358407","354637","348576","345280","343524","342362",,
"        Children (15 and under) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57488608","58556950","59689197","60633200","61466170","62136467","62579953","63065482","63477154","63890112","64344519","64534135","64660906","64801304","64916665","64976015","64923224","65046110","65226366","65347488","65433337","65335344","65271290","65236539","65243036","65279644","65222436","65121787","65019648","64791387","64856480","64238422","63833953"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"994341","991731","987348","984672","985133","986580","990560","993555","998213","998350","996465","992540","988676","983116","978285","974551","970320","965907","965811","964964","963505",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"169099","166831","165910","164519","163973","162856","162359","160997","160657","164413","166721","167769","168078","168335","167213","166676","167219","166053","164101","161713","160033",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1229024","1250635","1273610","1296337","1323222","1361987","1398299","1425888","1446550","1445125","1445161","1435788","1437508","1439033","1443313","1446655","1449151","1449367","1451318","1456287","1457818",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600745","600091","599548","601089","604681","610244","616225","619878","623686","627269","631490","632359","632565","630212","627906","627142","625866","625190","624229","622263","620124",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8289568","8329866","8346929","8373748","8366435","8325955","8251000","8188826","8177598","8165321","8163441","8141059","8113662","8099228","8092660","8087362","8054964","8017105","7964965","7882714","7788195",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"984087","1000915","1009773","1015218","1016675","1025974","1038087","1053298","1067450","1081243","1093138","1099228","1103610","1108206","1113849","1122019","1123669","1121233","1121495","1112974","1103932",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"754576","755790","755453","755791","751656","743892","735214","728007","723074","718258","712427","703997","695597","684573","675640","665510","655675","648799","643290","636119","628273",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173604","174229","174748","175762","177020","178449","179057","179879","180909","181201","180970","180764","181012","180778","180551","180730","180580","180590","180925","180984","181106",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103048","103182","102645","100336","98644","96156","93531","91585","90326","90173","89671","92745","97000","101549","105261","108605","110987","114066","116163","117700","119302",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3248076","3292531","3339579","3379537","3436385","3494687","3525949","3527176","3524447","3511664","3514964","3522154","3537510","3553384","3581901","3626060","3674475","3710361","3738249","3756345","3769997",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1942057","1976121","2005351","2031699","2056239","2091674","2130779","2172886","2196890","2203220","2208215","2208714","2210369","2209953","2211713","2217601","2220864","2218716","2218030","2216143","2208125",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"261994","261330","261236","261710","264561","264676","264287","264206","265752","268105","269342","272171","274727","276876","276592","277049","276158","274280","272632","269210","265348",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"326023","328566","331719","335788","341066","349857","358525","367907","375478","379535","382974","382833","381788","382386","384119","385590","388306","392437","394523","397129","398500",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2887902","2884872","2876126","2866622","2851143","2829671","2804044","2788896","2776719","2765380","2752524","2725957","2701181","2674847","2647053","2620053","2588191","2555120","2523107","2487663","2448528",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1398432","1402362","1401853","1404774","1407923","1412423","1415442","1418854","1422766","1422689","1420588","1414671","1408031","1405864","1402092","1397403","1392529","1388902","1390791","1389675","1385358",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"645006","640573","636110","634752","634518","633637","634859","636301","639654","642050","644619","643925","643589","645343","647150","648311","648375","648836","648197","646199","643019",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"630707","626940","625160","624546","623277","622532","621577","628007","633217","640573","647190","646989","647606","646305","644155","641704","637095","631876","627591","622386","617028",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"880553","880505","881291","885139","886040","889844","893202","896378","902379","903697","906904","906224","904694","904165","901220","898215","896137","894432","894179","891205","887727",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1072155","1059637","1051270","1047355","1045008","1040103","947203","964428","977763","984170","989496","991218","992079","992032","992589","992758","990397","983563","977519","971116","962560",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264772","262553","260417","258611","256462","253814","250276","247737","244751","241412","238276","235085","232213","229577","227332","224394","222756","221293","219757","219202","217571",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1211728","1217198","1221983","1224278","1224064","1218805","1207678","1197485","1190130","1187668","1189769","1189846","1190770","1190429","1194139","1193907","1191953","1190094","1189527","1188367","1183304",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1342113","1341491","1333973","1323062","1306143","1287587","1268818","1255889","1250703","1246265","1242658","1236737","1232413","1229310","1224507","1218055","1210140","1205984","1200765","1189769","1177959",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2310395","2302899","2288478","2274598","2256738","2232219","2192922","2152882","2110150","2073649","2042947","2016340","1994743","1977173","1960397","1941620","1926992","1914882","1904081","1890394","1873532",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1139060","1138397","1133351","1130474","1129407","1126742","1125959","1128769","1131433","1133862","1135267","1134964","1134335","1136883","1141125","1143835","1149071","1154672","1159109","1158582","1153179",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"683677","679140","674482","672705","674695","673756","666531","670377","671396","669152","665956","662283","658865","654064","649800","644496","637978","631012","626812","620609","613259",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1263682","1260466","1256619","1255001","1254886","1254956","1255655","1257072","1257318","1257386","1257607","1251050","1245259","1240271","1235828","1231731","1227221","1224207","1222625","1219494","1215095",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200750","197587","195132","194069","193397","193295","193245","194312","195767","196314","196902","197205","197563","199106","200291","201481","202805","203997","203647","203472","203721",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"396391","394073","393661","394319","395867","397041","397239","398796","401513","405122","409065","410480","412921","415398","417997","420803","423024","424470","424866","423836","422156",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464182","480464","495717","509785","529497","546765","564406","580858","588696","591598","589207","584190","582214","583634","587787","594236","600421","605785","612835","618156","620058",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275856","276645","275980","274160","271520","268893","265669","261142","257099","253109","249055","244915","240571","237004","233679","231332","229345","227646","225577","223408","220997",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1870050","1880413","1888083","1893273","1890373","1875079","1851292","1833528","1823084","1817784","1812493","1801519","1787958","1774572","1763347","1750619","1738063","1731346","1726015","1717412","1707315",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"448631","443385","442470","440310","440802","442275","443596","446803","450187","455094","458951","458965","456507","453423","448316","443325","438235","432556","426693","421680","416938",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4176646","4156706","4128156","4092179","4040971","3971703","3898491","3847248","3820024","3799884","3786442","3773438","3756857","3742148","3720948","3702432","3671841","3639645","3611815","3575928","3535364",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1761184","1792064","1815728","1838235","1856998","1885902","1917649","1960601","1993358","2014692","2025053","2027893","2029710","2031216","2030515","2029170","2030262","2032653","2037492","2040041","2039514",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139685","135695","132938","131036","130439","129546","128730","129063","129587","131279","133236","135874","140563","146500","151381","156868","158353","159281","161274","163031","163656",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2561742","2550720","2533677","2520017","2506359","2485767","2463366","2446114","2429392","2414795","2396544","2374043","2354921","2344817","2334841","2322951","2308535","2298543","2291974","2282843","2270293",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"784154","779314","779564","780500","779850","783145","790039","798898","805841","818607","829124","834843","840643","848805","852010","856730","856823","853190","850711","848562","847072",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"748971","749524","751061","750819","747559","748687","752459","756629","761707","764381","766147","765266","762653","760019","762346","765507","770746","772333","770527","767072","761770",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2583841","2568794","2551564","2536309","2522620","2503842","2485429","2471997","2460669","2450629","2437982","2422550","2408076","2393691","2382829","2371325","2355942","2346539","2341661","2328214","2312037",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221056","220636","220642","219833","217324","212734","207156","203162","200256","196997","194940","192708","190458","188342","186359","184813","183601","181808","181239","179332","177476",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"897509","901486","904725","907655","911525","915429","922004","933663","945568","952583","955044","954567","957336","959036","963629","970076","973162","977315","983006","988741","991447",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177473","175599","173739","172730","172711","172639","173472","175201","176521","178238","180543","181873","183633","185964","187946","189443","191251","193542","194472","195249","195122",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1244163","1250862","1256063","1265649","1272836","1283607","1297266","1306237","1318146","1320530","1322456","1320819","1323795","1325878","1327617","1329172","1330066","1332887","1338211","1339872","1341216",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5251595","5316807","5385216","5453714","5522268","5595524","5724093","5827267","5931754","6040560","6122487","6178796","6236425","6293530","6371432","6455647","6511518","6541208","6561066","6581239","6597670",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"637206","643186","650865","659492","671248","686302","706014","730202","751658","771659","787662","794871","800577","807626","811923","816639","823049","827623","828754","826316","823138",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129579","127807","126088","124395","122659","120429","118111","116288","114812","113372","112064","110465","109069","107659","106213","104810","103284","102574","101568","100324","99070",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1551726","1561139","1572028","1580900","1597273","1606798","1609904","1613643","1619602","1628546","1639744","1644625","1652927","1657184","1658023","1659384","1659823","1658974","1658912","1658492","1654489",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1343659","1342218","1339790","1337509","1342566","1342866","1350737","1360675","1372224","1387141","1398922","1405821","1410995","1416593","1423971","1435624","1452854","1468342","1477386","1481539","1484017",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"351744","347579","345895","345276","345436","344307","343175","342569","342362","342125","341554","340117","339804","338449","337011","334728","330628","326262","322728","318310","314251",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1208488","1203154","1198158","1192880","1190042","1185425","1181503","1180850","1180911","1180828","1178287","1171119","1164990","1158722","1152364","1145466","1137494","1132554","1127148","1120153","1110005",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111814","109427","109004","108137","108531","108939","110141","113201","116219","119791","120653","120972","122244","123331","123871","125031","124242","121737","120280","118959","118177",,
"    Race",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        White (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194713000","196634941","198037360","199420087","200707727","202031343","203429819","204770146","206129014","207539903","209366661","211606011","213945622","216187073","218304774","220384783","222420050","224553464","226648119","228687790","228530479","230049196","231446915","232717191","234120447","235491577","236954818","238378087","239783014","241034399","242235328","243292145","244354778","245308889","246350641","247382690","248413058","249270773","249961025","250522190","251640402","251443662","251602174"
"        Black or African American (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26683000","27133356","27508316","27867416","28212477","28568658","28941763","29324578","29722999","30143449","30648345","31290743","31979982","32634735","33258981","33847306","34415478","35007679","35594140","36173121","35814706","36263029","36684650","37066096","37510582","37961688","38443048","38935533","39429414","39902270","40355385","40783547","41225339","41651863","42090120","42532491","42970183","43374142","43732024","44075086","44913242","45103297","45399743"
"        Asian or Pacific Islander (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3729000","4213992","4581276","4908787","5249129","5606129","5978210","6343072","6723845","7134492","7549082","7957219","8386444","8814728","9200988","9604552","10023883","10459307","10885809","11346496","11173178","11669880","12156530","12625915","13090057","13576467","14066685","14547694","15030973","15491716","15939454","16413288","16901752","17401327","17938842","18502903","19045763","19544553","19927892","20311799","21077850","21213526","21832749"
"            By group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Asian (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10705839","11182404","11649265","12099525","12542740","13007663","13475846","13934641","14395296","14833733","15261408","15721072","16195092","16679752","17203569","17752744","18279949","18764237","19134105","19504862","20228294","20474126","20953941"
"                Native Hawaiian or other Pacific Islander (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"467339","487476","507265","526390","547317","568804","590839","613053","635677","657983","678046","692216","706660","721575","735273","750159","765814","780316","793787","806937","849556","862131","878808"
"        American Indian or Alaska Native (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1420000","1483027","1537259","1595947","1655707","1717908","1783256","1851250","1923182","2001351","2058726","2126968","2202176","2282052","2361078","2441752","2534873","2626475","2726036","2832761","2684491","2769731","2857113","2947575","3044517","3147772","3258666","3377213","3504878","3636766","3752274","3801451","3853222","3902766","3953354","4004358","4054740","4101605","4145811","4188092","4279772","4325755","4382234"
"        Two or more races (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3959557","4217119","4479985","4751156","5039695","5339095","5656695","5992680","6345687","6706378","7039225","7266443","7495899","7728870","7968051","8212721","8457567","8694466","8920749","9142356","9600246","9822583","10070657"
"    Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14609000","15560309","16239562","16935469","17640121","18367986","19154577","19946199","20786556","21648268","22572838","23554990","24619345","25776661","26945933","28157801","29463458","30895896","32382865","33937795","35661885","37144096","38617620","40049429","41501375","43023614","44606305","46196853","47793785","49327489","50742885","51857244","52926701","53990334","55088193","56254742","57450887","58573530","59639869","60572237","62882783","62625172","63664346"
"        Not Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"212615681","213905405","215424896","216856525","218184781","219555809","220978310","222342719","223712426","225170962","226897701","229425951","231894879","234141927","236179888","238120592","239930826","241751029","243471239","245102373","246500526","247824859","249007573","250058504","251303923","252492985","253773607","255034354","256300181","257444040","258578781","259699630","260904289","262003381","263212815","264380421","265490424","266412009","267047632","267667286","269672962","269246701","269623211"
"    Race and ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14609000","15560309","16239562","16935469","17640121","18367986","19154577","19946199","20786556","21648268","22572838","23554990","24619345","25776661","26945933","28157801","29463458","30895896","32382865","33937795","35661885","37144096","38617620","40049429","41501375","43023614","44606305","46196853","47793785","49327489","50742885","51857244","52926701","53990334","55088193","56254742","57450887","58573530","59639869","60572237","62882783","62625172","63664346"
"        White, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"181974435","182781655","183561138","184242853","184945003","185677726","186352800","187011730","187712384","188725372","190017764","191335711","192470910","193468650","194388780","195173744","195934009","196603242","197154118","195701752","195974813","196140540","196232760","196461761","196620983","196832697","197011394","197183535","197274549","197388592","197486399","197639572","197690405","197799592","197837000","197845666","197748159","197535202","197309822","197704168","196894384","196225966"
